condition,face_idx,slug,det_rate,mean_conf,max_conf
vanilla,9,city_street,0.0,0.0,0.0
vanilla,10,waterfall,0.01639344262295082,0.5255469083786011,0.5255469083786011
vanilla,11,sea_cliff,0.01639344262295082,0.5054380297660828,0.5054380297660828
vanilla,12,volcano,0.01639344262295082,0.5232235789299011,0.5232235789299011
vanilla,13,glacier,0.26229508196721313,0.5646574981510639,0.5858476758003235
vanilla,14,cave_entrance,0.9672131147540983,0.6445336624727411,0.7477496862411499
vanilla,15,beach,0.0,0.0,0.0
vanilla,16,ocean_waves,0.3770491803278688,0.5368513413097548,0.5952856540679932
vanilla,17,iceberg,0.0,0.0,0.0
vanilla,18,fjord,0.01639344262295082,0.50475013256073,0.50475013256073
vanilla,19,tropical_lagoon,0.6065573770491803,0.5186214140943579,0.5539451837539673
vanilla,20,desert_oasis,0.19672131147540983,0.5267287045717239,0.5815027356147766
vanilla,21,hot_springs,0.01639344262295082,0.5026630163192749,0.5026630163192749
vanilla,22,geyser,0.2786885245901639,0.5696794320555294,0.6742826700210571
vanilla,23,aurora,0.0,0.0,0.0
vanilla,24,starry_night,0.01639344262295082,0.6223486065864563,0.6223486065864563
vanilla,25,sunset_hills,0.0,0.0,0.0
vanilla,26,storm_clouds,0.04918032786885246,0.5741994976997375,0.6267797350883484
vanilla,27,lightning_storm,0.0,0.0,0.0
vanilla,28,foggy_valley,0.0,0.0,0.0
vanilla,29,misty_morning,0.5901639344262295,0.5683146102560891,0.6546476483345032
vanilla,30,rainforest,1.0,0.8182427062362921,0.8890973329544067
vanilla,31,bamboo_forest,0.639344262295082,0.5345324079195658,0.5847834944725037
vanilla,32,autumn_forest,0.22950819672131148,0.6230835233415876,0.6767575144767761
vanilla,33,winter_forest,0.8360655737704918,0.7489520685345519,0.8077001571655273
vanilla,34,pine_forest,0.09836065573770492,0.5153148670991262,0.5260990858078003
vanilla,35,misty_forest,1.0,0.6229205825289742,0.6749422550201416
vanilla,36,moonlit_forest,0.0,0.0,0.0
vanilla,37,wildflower_meadow,0.0,0.0,0.0
vanilla,38,lavender_field,0.6721311475409836,0.5285719124282279,0.5536128878593445
vanilla,39,sunflower_field,0.0,0.0,0.0
vanilla,40,wheat_field,0.0,0.0,0.0
vanilla,41,rice_terraces,0.0,0.0,0.0
vanilla,42,vineyard,0.5901639344262295,0.7479861395226585,0.8616284132003784
vanilla,43,tea_plantation,0.01639344262295082,0.5769466757774353,0.5769466757774353
vanilla,44,cherry_blossom,0.5901639344262295,0.7064318027761247,0.8493160605430603
vanilla,45,ancient_oak,0.639344262295082,0.525115450223287,0.5625430345535278
vanilla,46,willow_tree,0.26229508196721313,0.6524949073791504,0.6716302633285522
vanilla,47,baobab_tree,0.0,0.0,0.0
vanilla,48,overgrown_garden,0.01639344262295082,0.6714667081832886,0.6714667081832886
vanilla,49,mesa,0.03278688524590164,0.5299590826034546,0.5463595986366272
vanilla,50,rock_arch,0.0,0.0,0.0
vanilla,51,hoodoos,0.0,0.0,0.0
vanilla,52,sea_stacks,0.3114754098360656,0.7147924805942335,0.7597918510437012
vanilla,53,salt_flat,0.2459016393442623,0.5769601504007975,0.5938792824745178
vanilla,54,crystal_cave,0.26229508196721313,0.5314490795135498,0.5716288685798645
vanilla,55,basalt_columns,0.01639344262295082,0.6259710192680359,0.6259710192680359
vanilla,56,badlands,0.19672131147540983,0.5806620419025421,0.6215276122093201
vanilla,57,high_plateau,0.0,0.0,0.0
vanilla,58,limestone_cliff,0.7704918032786885,0.8477842604860346,0.8921128511428833
vanilla,59,medieval_castle,0.22950819672131148,0.5792863283838544,0.6286427974700928
vanilla,60,gothic_cathedral,0.01639344262295082,0.5698872804641724,0.5698872804641724
vanilla,61,roman_ruins,0.03278688524590164,0.5068835616111755,0.507516086101532
vanilla,62,japanese_temple,0.22950819672131148,0.5529992026942117,0.5856322050094604
vanilla,63,chinese_pagoda,0.0,0.0,0.0
vanilla,64,jungle_temple,0.0,0.0,0.0
vanilla,65,lighthouse,0.03278688524590164,0.5170487463474274,0.5332818031311035
vanilla,66,stone_bridge,0.0,0.0,0.0
vanilla,67,abandoned_factory,0.18032786885245902,0.5351181084459479,0.5627356171607971
vanilla,68,old_train_station,0.03278688524590164,0.8145128488540649,0.8483355045318604
vanilla,69,moroccan_market,0.9836065573770492,0.5807271202405294,0.6774027347564697
vanilla,70,venetian_canal,0.0,0.0,0.0
vanilla,71,parisian_street,0.26229508196721313,0.5633347146213055,0.5825639367103577
vanilla,72,tuscan_village,0.0,0.0,0.0
vanilla,73,alpine_village,0.819672131147541,0.8272166228294373,0.8639379739761353
vanilla,74,nordic_village,0.0,0.0,0.0
vanilla,75,english_countryside,0.0,0.0,0.0
vanilla,76,harbor_dusk,0.0,0.0,0.0
vanilla,77,rooftop_city,0.0,0.0,0.0
